epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,31554.7,1.30876,1.31287,1.53438,0.78964,0.61584,0.70936,0.39381,1.42833,1.23634,1.60174,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,31979.9,1.29514,1.29889,1.52272,0.7859,0.61717,0.70921,0.39336,1.42918,1.23547,1.60294,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,32406.4,1.2938,1.28982,1.52206,0.78748,0.61681,0.70928,0.39324,1.43014,1.23396,1.60456,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,32833.4,1.29117,1.29244,1.52219,0.78399,0.62043,0.71016,0.39345,1.43027,1.23165,1.60544,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,33259.6,1.29128,1.28374,1.52217,0.78045,0.62186,0.70894,0.39347,1.43053,1.22951,1.60572,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,33688,1.27472,1.27434,1.5099,0.78431,0.62147,0.71005,0.39399,1.43079,1.22735,1.6063,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,34113.6,1.27779,1.27089,1.51251,0.78583,0.62052,0.71071,0.39369,1.43081,1.22705,1.60681,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,34538.3,1.27295,1.26295,1.50924,0.78513,0.62165,0.70998,0.39353,1.43147,1.22466,1.60792,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,34964.1,1.27809,1.2581,1.51032,0.7838,0.62258,0.71003,0.39355,1.43217,1.22348,1.60866,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,35390.9,1.26236,1.26207,1.50216,0.78223,0.62409,0.70903,0.39343,1.43294,1.22206,1.60929,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,35817.8,1.26246,1.25065,1.50076,0.78033,0.62426,0.71016,0.39339,1.43353,1.21945,1.60981,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,36244.9,1.26799,1.24613,1.50297,0.78104,0.62407,0.71017,0.39351,1.43371,1.21711,1.61032,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,36673.2,1.2517,1.23834,1.49046,0.78016,0.62407,0.70946,0.39342,1.43423,1.21522,1.61078,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,37099.6,1.25119,1.22893,1.49348,0.77831,0.62627,0.70988,0.3934,1.43497,1.21358,1.61166,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
